domain,reachable,tls_versions,preferred_cipher,cert_subject_cn,cert_issuer,sig_alg,key_type,key_size,valid_from,valid_to,validity_days,ocsp_stapling,errors
fpdf.org,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,fpdf.org,E8,ecdsa-with-SHA384,ECDSA,secp256r1,10/4/2025,1/2/2026,90,unknown,
crazydomains.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,crazydomains.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/12/2025,1/10/2026,90,unknown,
natura.com.br,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,*.natura.net,Amazon RSA 2048 M01,sha256WithRSAEncryption,RSA,2048,9/18/2025,10/17/2026,394,unknown,
fanatical.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.fanatical.com,Starfield Secure Certificate Authority - G2,sha256WithRSAEncryption,RSA,2048,5/22/2025,6/23/2026,397,unknown,
fitforfun.de,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,fitforfun.de,E8,ecdsa-with-SHA384,ECDSA,secp256r1,11/6/2025,2/4/2026,90,unknown,
slicelife.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,slicelife.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/29/2025,1/27/2026,90,unknown,
kuronavi.blog,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,kuronavi.blog,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,11/17/2025,2/15/2026,90,unknown,
travelapi.com,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
letour.fr,TRUE,TLSv1.2,ECDHE-ECDSA-AES128-GCM-SHA256,letour.fr,E7,ecdsa-with-SHA384,ECDSA,secp256r1,11/20/2025,2/18/2026,90,unknown,
digidip.net,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,*.digidip.net,Amazon RSA 2048 M03,sha256WithRSAEncryption,RSA,2048,3/13/2025,4/12/2026,395,unknown,
acloud.guru,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,acloud.guru,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,11/13/2025,2/11/2026,90,unknown,
gq.com.mx,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,condenastinternational.com,GlobalSign Atlas R3 DV TLS CA 2025 Q4,sha256WithRSAEncryption,RSA,2048,11/19/2025,12/21/2026,397,unknown,
swansonvitamins.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,swansonvitamins.com,R12,sha256WithRSAEncryption,RSA,2048,11/8/2025,2/6/2026,90,unknown,
rmi.org,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,rmi.org,R13,sha256WithRSAEncryption,RSA,2048,10/18/2025,1/16/2026,90,unknown,
tech.blog,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,tls.automattic.com,E8,ecdsa-with-SHA384,ECDSA,secp256r1,11/13/2025,2/11/2026,90,unknown,
nitter.net,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
vipxdns.com,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
iai-system.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.iai-system.com,Certum Domain Validation CA SHA2,sha256WithRSAEncryption,RSA,4096,3/4/2025,3/4/2026,365,unknown,
